Rk,Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2023-24,ATL,82,36,46,0.439,19855,3529,7584,2404,4492,1125,3092,1520,1906,1024,2639,3663,2180,615,369,1110,1522,9703,0.465,0.535,0.364,0.797,0.576,0.539
2,2023-24,BOS,82,64,18,0.78,19830,3601,7396,2250,3914,1351,3482,1334,1654,876,2923,3799,2207,557,538,979,1326,9887,0.487,0.575,0.388,0.807,0.609,0.578
3,2023-24,CHO,82,21,61,0.256,19730,3281,7133,2292,4345,989,2788,1189,1512,765,2538,3303,2033,562,371,1129,1472,8740,0.46,0.528,0.355,0.786,0.56,0.529
4,2023-24,CHI,82,39,43,0.476,19980,3448,7339,2507,4709,941,2630,1369,1731,916,2677,3593,2048,638,394,1004,1541,9206,0.47,0.532,0.358,0.791,0.568,0.534
5,2023-24,CLE,82,48,34,0.585,19805,3425,7148,2317,4132,1108,3016,1278,1671,807,2742,3549,2299,605,380,1112,1436,9236,0.479,0.561,0.367,0.765,0.586,0.557
6,2023-24,DAL,82,50,32,0.61,19705,3535,7352,2338,4110,1197,3242,1397,1842,797,2724,3521,2106,563,406,1027,1500,9664,0.481,0.569,0.369,0.758,0.592,0.562
7,2023-24,DEN,82,57,25,0.695,19705,3610,7279,2652,4719,958,2560,1240,1628,881,2763,3644,2415,585,457,1036,1489,9418,0.496,0.562,0.374,0.762,0.589,0.562
8,2023-24,DET,82,14,68,0.171,19755,3353,7236,2447,4634,906,2602,1398,1780,861,2692,3553,2088,531,384,1248,1688,9010,0.463,0.528,0.348,0.785,0.562,0.526
9,2023-24,GSW,82,46,36,0.561,19830,3582,7515,2371,4324,1211,3191,1282,1644,996,2834,3830,2402,572,377,1174,1598,9657,0.477,0.548,0.38,0.78,0.586,0.557
10,2023-24,HOU,82,41,41,0.5,19855,3425,7459,2382,4495,1043,2964,1482,1916,940,2787,3727,2035,639,375,1045,1702,9375,0.459,0.53,0.352,0.773,0.565,0.529
11,2023-24,IND,82,47,35,0.573,19705,3855,7599,2773,4708,1082,2891,1318,1685,827,2578,3405,2522,631,481,1059,1756,10110,0.507,0.589,0.374,0.782,0.606,0.578
12,2023-24,LAC,82,51,31,0.622,19705,3473,7108,2437,4389,1036,2719,1499,1817,822,2701,3523,2097,640,413,1078,1519,9481,0.489,0.555,0.381,0.825,0.599,0.561
13,2023-24,LAL,82,47,35,0.573,19855,3580,7177,2611,4605,969,2572,1550,1983,676,2859,3535,2340,605,453,1146,1283,9679,0.499,0.567,0.377,0.782,0.601,0.566
14,2023-24,MEM,82,27,55,0.329,19780,3145,7230,2074,4133,1071,3097,1316,1722,896,2598,3494,2025,673,501,1236,1563,8677,0.435,0.502,0.346,0.764,0.543,0.509
15,2023-24,MIA,82,46,36,0.561,19755,3266,7022,2244,4257,1022,2765,1478,1806,766,2702,3468,2116,617,280,1038,1415,9032,0.465,0.527,0.37,0.818,0.578,0.538
16,2023-24,MIL,82,49,33,0.598,19805,3538,7258,2375,4136,1163,3122,1517,1960,772,2850,3622,2176,558,413,1059,1574,9756,0.487,0.574,0.373,0.774,0.601,0.568
17,2023-24,MIN,82,56,26,0.683,19805,3383,6974,2346,4293,1037,2681,1461,1881,770,2807,3577,2184,647,497,1162,1544,9264,0.485,0.546,0.387,0.777,0.594,0.559
18,2023-24,BRK,82,32,50,0.39,19805,3334,7307,2245,4297,1089,3010,1293,1711,938,2675,3613,2102,556,424,1076,1516,9050,0.456,0.522,0.362,0.756,0.561,0.531
19,2023-24,NOP,82,49,33,0.598,19705,3484,7165,2461,4492,1023,2673,1445,1873,852,2753,3605,2210,684,378,1067,1508,9436,0.486,0.548,0.383,0.771,0.591,0.558
20,2023-24,NYK,82,50,32,0.61,19730,3385,7272,2302,4336,1083,2936,1396,1789,1039,2665,3704,1998,612,336,1085,1447,9249,0.465,0.531,0.369,0.78,0.574,0.54
21,2023-24,OKC,82,57,25,0.695,19805,3653,7324,2563,4519,1090,2805,1451,1759,722,2725,3447,2223,694,538,1039,1545,9847,0.499,0.567,0.389,0.825,0.608,0.573
22,2023-24,ORL,82,47,35,0.573,19780,3318,6964,2415,4396,903,2568,1519,2002,861,2608,3469,2023,669,423,1206,1618,9058,0.476,0.549,0.352,0.759,0.577,0.541
23,2023-24,PHI,82,47,35,0.573,19780,3404,7331,2412,4598,992,2733,1597,1934,906,2616,3522,2041,694,492,984,1668,9397,0.464,0.525,0.363,0.826,0.574,0.532
24,2023-24,PHO,82,49,33,0.598,19780,3482,7063,2462,4392,1020,2671,1548,1915,831,2783,3614,2218,610,492,1221,1475,9532,0.493,0.561,0.382,0.808,0.603,0.565
25,2023-24,POR,82,21,61,0.256,19880,3227,7356,2288,4633,939,2723,1329,1680,1036,2469,3505,1894,627,354,1249,1654,8722,0.439,0.494,0.345,0.791,0.539,0.503
26,2023-24,SAC,82,46,36,0.561,19855,3553,7455,2375,4236,1178,3219,1274,1710,888,2719,3607,2324,625,342,1078,1632,9558,0.477,0.561,0.366,0.745,0.582,0.556
27,2023-24,SAS,82,22,60,0.268,19830,3438,7436,2402,4453,1036,2983,1280,1637,849,2778,3627,2449,584,520,1242,1414,9192,0.462,0.539,0.347,0.782,0.563,0.532
28,2023-24,TOR,82,25,57,0.305,19805,3466,7356,2524,4644,942,2712,1339,1772,891,2607,3498,2335,634,388,1147,1509,9213,0.471,0.543,0.347,0.756,0.566,0.535
29,2023-24,UTA,82,31,51,0.378,19805,3443,7371,2383,4378,1060,2993,1538,1853,1002,2725,3727,2232,537,458,1285,1523,9484,0.467,0.544,0.354,0.83,0.579,0.539
30,2023-24,WAS,82,15,67,0.183,19730,3523,7493,2508,4578,1015,2915,1266,1657,755,2613,3368,2288,623,415,1147,1637,9327,0.47,0.548,0.348,0.764,0.567,0.538
31,2022-23,ATL,82,41,41,0.5,19855,3658,7574,2776,5069,882,2505,1513,1850,920,2719,3639,2049,580,401,1060,1541,9711,0.483,0.548,0.352,0.818,0.579,0.541
