Rk,Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2023-24,BOS,82,64,18,0.78,241.8,43.9,90.2,27.4,47.7,16.5,42.5,16.3,20.2,10.7,35.6,46.3,26.9,6.8,6.6,11.9,16.2,120.6,41.5,91.6,28.6,55,12.9,36.7,13.3,17.3,11.1,32.3,43.3,24.9,6.2,3.7,12,17.3,109.2
2,2023-24,CLE,82,48,34,0.585,241.5,41.8,87.2,28.3,50.4,13.5,36.8,15.6,20.4,9.8,33.4,43.3,28,7.4,4.6,13.6,17.5,112.6,40.5,87.5,28,53.7,12.5,33.8,16.6,21,10,32.6,42.7,25.3,7.7,5,13.6,18.7,110.2
3,2023-24,DAL,82,50,32,0.61,240.3,43.1,89.7,28.5,50.1,14.6,39.5,17,22.5,9.7,33.2,42.9,25.7,6.9,5,12.5,18.3,117.9,43,90.4,29.8,54.8,13.1,35.6,16.6,21.6,10.9,34.1,45.1,27.5,7.4,4,13.7,20.3,115.6
4,2023-24,DEN,82,57,25,0.695,240.3,44,88.8,32.3,57.5,11.7,31.2,15.1,19.9,10.7,33.7,44.4,29.5,7.1,5.6,12.6,18.2,114.9,40.6,87.9,29.4,56.4,11.2,31.5,17.1,22.2,10.9,31.4,42.3,25.7,7,4.8,12.4,17.9,109.6
5,2023-24,IND,82,47,35,0.573,240.3,47,92.7,33.8,57.4,13.2,35.3,16.1,20.5,10.1,31.4,41.5,30.8,7.7,5.9,12.9,21.4,123.3,44.5,89.8,33.9,60.5,10.7,29.3,20.5,26,11,32.4,43.4,24.6,6.6,5.4,13.9,18.3,120.2
6,2023-24,LAC,82,51,31,0.622,240.3,42.4,86.7,29.7,53.5,12.6,33.2,18.3,22.2,10,32.9,43,25.6,7.8,5,13.1,18.5,115.6,41.6,88.9,28.8,53.5,12.9,35.4,16.2,21,11.1,31.1,42.2,26.4,7.3,4.7,13,18.7,112.3
7,2023-24,LAL,82,47,35,0.573,242.1,43.7,87.5,31.8,56.2,11.8,31.4,18.9,24.2,8.2,34.9,43.1,28.5,7.4,5.5,14,15.6,118,44.4,93.7,30.2,55.8,14.3,37.9,14.3,18,10.9,33.2,44,28.2,8.2,4.8,13.4,19.7,117.4
8,2023-24,MIA,82,46,36,0.561,240.9,39.8,85.6,27.4,51.9,12.5,33.7,18,22,9.3,33,42.3,25.8,7.5,3.4,12.7,17.3,110.1,40.2,86,27.2,49.2,13,36.8,15,19.2,9.2,33.5,42.8,26.5,6.6,4.7,13.7,18.9,108.4
9,2023-24,MIL,82,49,33,0.598,241.5,43.1,88.5,29,50.4,14.2,38.1,18.5,23.9,9.4,34.8,44.2,26.5,6.8,5,12.9,19.2,119,43.2,91.9,30.6,56.6,12.6,35.3,17.4,21.5,10.3,33.7,44,26.5,7.1,4.2,12,19.2,116.4
10,2023-24,MIN,82,56,26,0.683,241.5,41.3,85,28.6,52.4,12.6,32.7,17.8,22.9,9.4,34.2,43.6,26.6,7.9,6.1,14.2,18.8,113,39,86.8,27.6,54.5,11.4,32.3,17.1,21.9,10.3,31.2,41.4,24.5,7.5,4.5,14.2,19.9,106.5
11,2023-24,NOP,82,49,33,0.598,240.3,42.5,87.4,30,54.8,12.5,32.6,17.6,22.8,10.4,33.6,44,27,8.3,4.6,13,18.4,115.1,40.5,87.3,26.9,48.5,13.5,38.7,16.2,20.7,10.1,32.2,42.3,26.8,6.5,5.2,14.2,18.4,110.7
12,2023-24,NYK,82,50,32,0.61,240.6,41.3,88.7,28.1,52.9,13.2,35.8,17,21.8,12.7,32.5,45.2,24.4,7.5,4.1,13.2,17.6,112.8,40.3,85.7,27.8,51.4,12.5,34.3,15.1,19.8,10.2,30.4,40.6,25.6,6.7,5.3,13.2,19.1,108.2
13,2023-24,OKC,82,57,25,0.695,241.5,44.5,89.3,31.3,55.1,13.3,34.2,17.7,21.5,8.8,33.2,42,27.1,8.5,6.6,12.7,18.8,120.1,40.6,89.3,27.2,52.1,13.4,37.2,18.1,22.9,11.8,32.9,44.7,26.9,7.1,5.1,15.7,18.9,112.7
14,2023-24,ORL,82,47,35,0.573,241.2,40.5,84.9,29.5,53.6,11,31.3,18.5,24.4,10.5,31.8,42.3,24.7,8.2,5.2,14.7,19.7,110.5,39.8,84,28.3,51.8,11.5,32.1,17.3,22.2,8.9,30.9,39.9,23.9,8.1,4.6,15,20.9,108.4
15,2023-24,PHI,82,47,35,0.573,241.2,41.5,89.4,29.4,56.1,12.1,33.3,19.5,23.6,11,31.9,43,24.9,8.5,6,12,20.3,114.6,40.5,86.6,28.6,52.8,11.9,33.7,18.6,23.5,11,33.4,44.5,26.1,6.2,6.1,14.6,18.5,111.5
16,2023-24,PHO,82,49,33,0.598,241.2,42.5,86.1,30,53.6,12.4,32.6,18.9,23.4,10.1,33.9,44.1,27,7.4,6,14.9,18,116.2,42,90.6,28.9,54.6,13.1,36,16.1,20.8,11,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2
17,2022-23,ATL,82,41,41,0.5,242.1,44.6,92.4,33.9,61.8,10.8,30.5,18.5,22.6,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4,43.8,90.2,31.9,56.7,11.9,33.5,18.6,23.2,10.6,33.5,44.1,26,7.5,5,14.2,19.7,118.1
18,2022-23,BOS,82,57,25,0.695,243.7,42.2,88.8,26.2,46.2,16,42.6,17.5,21.6,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,41.8,90.2,30.1,56.5,11.6,33.7,16.2,21.1,9.7,34.3,44,23.1,6.6,3.9,12.7,19.1,111.4
19,2022-23,CLE,82,51,31,0.622,242.4,41.6,85.2,30,53.6,11.6,31.6,17.5,22.5,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3,39,83.5,27.8,52.9,11.3,30.6,17.5,22.4,9.8,31.5,41.2,23,7,4.4,15.7,20.4,106.9
20,2022-23,DEN,82,53,29,0.646,240.9,43.6,86.4,31.8,55.2,11.8,31.2,16.8,22.4,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8,41.7,87.4,30.4,54.3,11.4,33.1,17.6,22.7,10.1,30.7,40.8,25.7,7.9,4.2,13.5,19.5,112.5
21,2022-23,GSW,82,44,38,0.537,241.8,43.1,90.2,26.5,47,16.6,43.2,16,20.2,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,42.4,90.5,29.5,55,12.9,35.5,19.4,25.2,10.7,32.6,43.3,25.7,7.9,4,14.3,18.4,117.1
22,2022-23,LAC,82,44,38,0.537,241.8,41.1,86.1,28.4,52.7,12.7,33.4,18.7,23.9,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6,41.8,88.3,29.6,54.9,12.2,33.4,17.2,22.3,10.2,32.9,43.1,25,7.8,4.2,13,19.6,113.1
23,2022-23,LAL,82,43,39,0.524,242.4,42.9,89,32.1,57.8,10.8,31.2,20.6,26.6,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,44,93.9,31.5,57.4,12.5,36.5,16.1,20.8,11.1,33.8,44.9,25.7,7.6,5.1,12.6,21.5,116.6
24,2022-23,MEM,82,51,31,0.622,241.2,43.7,92.1,31.7,57.9,12,34.2,17.5,23.8,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9,40.7,89.8,27.7,53.3,13,36.6,18.5,23.5,11,33.4,44.4,26.4,6.8,5.2,15.1,20,113
25,2022-23,MIA,82,44,38,0.537,241.5,39.2,85.3,27.3,50.5,12,34.8,19.1,23,9.7,30.9,40.6,23.8,8,3,13.5,18.5,109.5,40.1,83.2,27,47.4,13.1,35.8,16.5,21.1,8.9,33,41.8,25.6,7,3.8,15.7,20,109.8
26,2022-23,MIL,82,58,24,0.707,241.8,42.7,90.4,27.9,50.1,14.8,40.3,16.6,22.4,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,42.5,93.2,30.4,59.1,12.1,34.1,16.3,21,10.7,33.5,44.2,23.9,7,3.9,11.8,19,113.3
27,2022-23,MIN,82,42,40,0.512,241.8,42.9,87.4,30.7,54.1,12.2,33.3,17.9,23.7,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,115.8,41.8,88.7,29.5,55.5,12.3,33.3,19.9,26,11.3,33.3,44.7,25,8.2,4.1,15.4,20.2,115.8
